<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.22	94867.49	94931.99	94512.51	94699.01	86400	0	30
2025.02.23	94698.99	94819.59	94572.11	94772.73	86338	0	30
2025.02.24	94772.71	95126.25	94739.99	94989.93	86401	0	30
2025.02.25	94989.91	95213.89	94958.59	95155.18	86400	0	30
2025.02.26	95155.16	95350.65	95069.54	95069.54	86400	0	30
2025.02.27	95069.52	95093.57	94597.60	94684.35	86400	0	30
2025.02.28	94684.33	94890.44	94676.94	94862.02	86401	0	30
2025.03.01	94862.00	95136.49	94753.41	94805.13	86400	0	30
2025.03.02	94805.11	95009.61	94756.95	94891.24	86256	0	30
2025.03.03	94891.22	95206.02	94865.06	95152.91	86400	0	30
2025.03.04	95152.89	95223.24	94984.52	94996.22	86401	0	45
2025.03.05	94996.20	95043.08	94546.89	94639.10	86345	0	45
2025.03.06	94639.08	94780.31	94561.31	94667.15	86273	0	45
2025.03.07	94667.13	94822.83	94474.48	94668.95	86401	0	45
2025.03.08	94668.93	94781.95	94568.38	94660.06	86400	0	45
2025.03.09	94660.04	94824.11	94619.91	94694.15	86338	0	45
2025.03.10	94694.13	94694.13	94387.42	94407.21	86400	0	45
2025.03.11	94407.19	94589.31	94265.32	94550.75	86401	0	45
2025.03.12	94550.73	94596.46	94139.24	94273.94	86400	0	45
2025.03.13	94273.92	94518.70	94221.88	94285.88	86400	0	45
2025.03.14	94285.86	94623.76	94254.36	94576.53	86400	0	45
2025.03.15	94576.51	94607.07	94200.89	94332.37	86360	0	45
2025.03.16	94332.35	94368.70	94083.02	94240.75	86360	0	45
2025.03.17	94240.73	94392.64	94068.13	94342.80	86400	0	45
2025.03.18	94342.78	94374.04	94203.06	94318.25	86400	0	45
2025.03.19	94318.23	94318.23	94032.63	94189.01	86382	0	45
2025.03.20	94188.99	94240.58	93760.30	93767.54	86401	0	45
2025.03.21	93767.52	93949.65	93717.30	93805.73	86282	0	45
2025.03.22	93805.71	93990.19	93766.41	93876.60	86400	0	45
2025.03.23	93876.58	93927.69	93555.61	93831.61	86010	0	45
2025.03.24	93831.59	94082.24	93457.82	93533.51	86245	0	45
2025.03.25	93533.49	93716.96	93171.63	93375.44	85641	0	45
2025.03.26	93375.42	93616.25	93314.00	93604.65	86400	0	45
2025.03.27	93604.63	93608.39	93348.99	93408.19	86401	0	45
2025.03.28	93408.17	93572.16	93358.59	93524.84	86400	0	45
2025.03.29	93524.82	93848.31	93429.39	93843.86	86400	0	45
2025.03.30	93843.84	93974.37	93759.73	93759.73	80188	0	45
2025.03.31	93759.71	93909.20	93726.44	93832.02	86400	0	45
2025.04.01	93832.00	93903.11	93589.71	93589.71	86400	0	45
2025.04.02	93589.69	93682.29	93373.79	93384.86	86401	0	45
2025.04.03	93384.84	93544.58	93230.84	93270.75	86400	0	45
2025.04.04	93270.73	93344.16	93078.20	93158.50	86400	0	45
2025.04.05	93158.48	93349.98	93014.15	93143.71	86400	0	45
2025.04.06	93143.69	93231.61	93033.63	93138.39	86338	0	45
2025.04.07	93138.37	93286.36	92928.52	93257.69	86400	0	45
2025.04.08	93257.67	93283.31	92957.47	93038.04	86400	0	45
2025.04.09	93038.02	93270.18	93024.92	93158.08	86400	0	45
2025.04.10	93158.06	93216.41	93052.09	93154.75	86401	0	45
2025.04.11	93154.73	93251.82	93000.34	93041.28	86316	0	45
2025.04.12	93041.26	93041.26	92759.49	92848.86	86400	0	45
2025.04.13	92848.84	92860.18	92484.82	92580.25	86248	0	45
2025.04.14	92580.23	92666.09	92504.77	92618.29	86400	0	45
2025.04.15	92618.27	92753.41	92407.08	92457.01	86281	0	45
2025.04.16	92456.99	92503.29	91941.61	91986.65	86399	0	45
2025.04.17	91986.63	92727.81	91981.39	92619.47	86280	0	45
2025.04.18	92619.45	92732.37	92483.88	92505.47	86400	0	45
2025.04.19	92505.45	92544.57	92301.95	92413.56	86400	0	45
2025.04.20	92413.54	92523.84	92135.29	92224.24	86338	0	45
2025.04.21	92224.22	92342.19	92027.30	92243.27	86401	0	45
2025.04.22	92243.25	92369.39	92033.56	92254.94	86205	0	45
2025.04.23	92254.92	92421.43	92195.94	92310.55	86400	0	45
2025.04.24	92310.53	92490.90	92215.51	92266.82	86400	0	45
2025.04.25	92266.80	92489.12	92196.36	92396.97	86231	0	45
2025.04.26	92396.95	92585.56	92303.94	92303.94	86401	0	45
2025.04.27	92303.92	92424.72	92069.40	92069.40	86338	0	45
2025.04.28	92069.38	92283.20	92032.28	92105.04	86318	0	45
2025.04.29	92105.02	92244.53	91863.15	91937.28	86400	0	45
2025.04.30	91937.26	92138.72	91830.57	91951.06	86400	0	45
2025.05.01	91951.04	91979.72	91484.47	91638.11	86401	0	45
2025.05.02	91638.09	91741.81	91533.09	91554.81	86400	0	45
2025.05.03	91554.79	91620.91	91412.37	91412.37	86400	0	45
2025.05.04	91412.35	91602.11	91293.03	91464.50	86335	0	45
2025.05.05	91464.48	91555.39	91292.27	91491.01	86401	0	45
2025.05.06	91490.99	91547.82	91147.66	91517.36	86400	0	45
2025.05.07	91517.34	91610.74	91337.62	91506.43	86400	0	45
2025.05.08	91506.41	92005.71	91500.37	91900.21	86400	0	45
2025.05.09	91900.19	91922.70	91651.53	91724.13	86401	0	45
2025.05.10	91724.11	91775.42	91539.35	91613.36	86400	0	45
2025.05.11	91613.34	91757.45	91417.49	91730.96	86138	0	45
2025.05.12	91730.94	91730.94	91386.78	91386.78	86401	0	45
2025.05.13	91386.76	91552.93	91317.05	91348.57	86400	0	45
2025.05.14	91348.55	91427.03	91193.18	91361.63	86400	0	45
2025.05.15	91361.61	91393.75	91182.44	91317.98	86400	0	45
2025.05.16	91317.96	91317.96	91075.41	91084.94	86401	0	45
2025.05.17	91084.92	91146.95	90695.18	90695.18	86371	0	45
2025.05.18	90695.16	90830.71	90555.71	90733.06	86337	0	45
2025.05.19	90733.04	90789.96	90416.39	90584.18	86401	0	45
2025.05.20	90584.16	90671.55	90408.27	90460.25	86400	0	45
2025.05.21	90460.23	90715.14	90410.37	90622.46	86400	0	45
2025.05.22	90622.44	90694.66	90318.21	90328.82	86401	0	45
2025.05.23	90328.80	90492.26	90230.89	90319.87	86400	0	45
2025.05.24	90319.85	90493.02	90177.15	90393.42	86400	0	45
2025.05.25	90393.40	90607.11	90251.46	90281.53	86336	0	45
2025.05.26	90281.51	90486.70	90243.45	90303.48	86400	0	45
2025.05.27	90303.46	90391.01	90116.07	90344.69	86360	0	45
2025.05.28	90344.67	90453.01	90231.29	90278.92	86352	0	45
2025.05.29	90278.90	90350.49	90105.97	90159.37	86400	0	45
2025.05.30	90159.35	90425.04	90103.83	90378.16	86285	0	45
2025.05.31	90378.14	90447.70	90040.88	90045.28	86319	0	45
2025.06.01	90045.26	90289.52	89987.96	90252.94	86130	0	45
2025.06.02	90252.92	90409.00	90181.60	90280.18	86400	0	45
2025.06.03	90280.16	90280.16	89736.98	89747.35	86401	0	45
2025.06.04	89747.33	89878.51	89512.84	89811.49	86400	0	45
2025.06.05	89811.47	89882.28	89590.42	89696.17	86400	0	45
2025.06.06	89696.15	89794.74	89381.27	89457.11	86400	0	45
2025.06.07	89457.09	89457.09	89120.21	89120.21	86400	0	45
2025.06.08	89120.19	89406.45	89066.23	89376.57	86399	0	45
2025.06.09	89376.55	89524.04	89225.39	89305.02	86400	0	45
2025.06.10	89305.00	89507.10	89228.16	89354.99	86400	0	45
2025.06.11	89354.97	89484.90	89323.36	89448.37	86400	0	45
2025.06.12	89448.35	89509.95	89195.47	89232.80	86401	0	45
2025.06.13	89232.78	89411.46	89099.11	89132.31	86400	0	45
2025.06.14	89132.29	89425.66	89039.54	89364.38	86400	0	45
2025.06.15	89364.36	89364.36	89046.31	89072.05	85840	0	45
2025.06.16	89072.03	89157.81	88678.66	88702.19	86400	0	45
2025.06.17	88702.17	88905.04	88584.65	88760.04	86400	0	45
2025.06.18	88760.02	89203.92	88540.38	89131.51	86401	0	45
2025.06.19	89131.49	89273.92	88824.01	88824.01	86400	0	45
2025.06.20	88823.99	88993.36	88559.10	88963.87	86400	0	45
2025.06.21	88963.85	88963.85	88622.41	88851.59	86400	0	45
2025.06.22	88851.57	88900.13	88639.15	88719.61	86318	0	45
2025.06.23	88719.59	89063.57	88709.71	88931.52	86400	0	45
2025.06.24	88931.50	89063.38	88780.72	88801.13	86400	0	45
2025.06.25	88801.11	89170.57	88752.22	89080.71	86400	0	45
2025.06.26	89080.69	89371.81	89049.70	89125.57	86401	0	45
2025.06.27	89125.55	89188.67	88842.68	88995.42	86400	0	45
2025.06.28	88995.40	89036.22	88811.29	89009.90	86259	0	45
2025.06.29	89009.88	89611.59	88986.19	89563.84	86318	0	45
2025.06.30	89563.82	89601.38	89278.09	89400.42	86401	0	45
2025.07.01	89400.40	89616.53	89351.58	89398.78	86400	0	45
2025.07.02	89398.76	89575.54	89165.18	89180.00	86400	0	45
2025.07.03	89179.98	89472.71	89123.97	89452.53	86391	0	45
2025.07.04	89452.51	89465.10	89052.55	89052.55	86401	0	45
2025.07.05	89052.53	89077.25	88810.17	89040.67	86388	0	45
2025.07.06	89040.65	89058.43	88801.83	88841.63	86392	0	45
2025.07.07	88841.61	89029.44	88770.95	89003.93	86400	0	45
2025.07.08	89003.91	89303.21	88879.39	88919.49	86400	0	45
2025.07.09	88919.47	88919.47	88527.77	88587.59	86401	0	45
2025.07.10	88587.57	88830.36	88541.47	88748.98	86400	0	45
2025.07.11	88748.96	89042.61	88731.80	88940.90	86400	0	45
2025.07.12	88940.88	89303.25	88777.07	89176.33	86330	0	45
2025.07.13	89176.31	89417.92	89122.76	89300.85	86328	0	45
2025.07.14	89300.83	89300.83	89026.89	89260.67	86401	0	45
2025.07.15	89260.65	89529.97	89161.85	89520.93	86272	0	45
2025.07.16	89520.91	89679.07	89330.39	89678.47	86400	0	45
2025.07.17	89678.45	89929.44	89665.35	89794.70	86401	0	45
2025.07.18	89794.68	89794.68	89430.56	89432.49	86400	0	45
2025.07.19	89432.47	89903.58	89392.52	89870.40	86400	0	45
2025.07.20	89870.38	90020.62	89760.05	89760.06	86399	0	45
2025.07.21	89760.04	89815.14	89528.03	89744.54	86399	0	45
2025.07.22	89744.52	89886.36	89596.37	89819.50	86401	0	45
2025.07.23	89819.48	90025.05	89740.52	89921.26	86400	0	45
2025.07.24	89921.24	89998.51	89782.05	89840.34	86400	0	45
2025.07.25	89840.32	90076.20	89817.49	89930.33	86400	0	45
2025.07.26	89930.31	90120.72	89844.63	89887.54	86401	0	45
2025.07.27	89887.52	89922.39	89742.93	89821.83	86400	0	45
2025.07.28	89821.81	89982.86	89743.23	89766.47	86400	0	45
2025.07.29	89766.45	89844.91	89550.55	89567.89	86400	0	45
2025.07.30	89567.87	89635.61	89341.91	89379.31	86400	0	45
2025.07.31	89379.29	89379.29	88993.59	89004.06	86401	0	45
2025.08.01	89004.04	89114.93	88822.79	88875.50	86400	0	45
2025.08.02	88875.48	89386.58	88864.92	89313.86	86400	0	45
2025.08.03	89313.84	89328.06	89148.35	89241.07	86262	0	45
2025.08.04	89241.05	89356.45	89165.63	89279.61	86399	0	45
2025.08.05	89279.59	89496.86	89240.90	89270.96	86401	0	45
2025.08.06	89270.94	89591.98	89248.13	89491.96	86400	0	45
2025.08.07	89491.94	89609.10	89395.88	89513.15	86400	0	45
2025.08.08	89513.13	89837.94	89498.59	89800.29	86400	0	45
2025.08.09	89800.27	90416.06	89795.41	90331.92	86400	0	45
2025.08.10	90331.90	90486.82	90261.14	90358.89	86338	0	45
2025.08.11	90358.87	90561.93	90178.86	90504.94	86400	0	45
2025.08.12	90504.92	90561.41	90348.27	90415.11	86400	0	45
2025.08.13	90415.09	90432.46	90201.35	90259.62	86400	0	45
2025.08.14	90259.60	90362.67	90094.78	90094.78	86401	0	45
2025.08.15	90094.76	90230.95	90014.78	90033.46	86400	0	45
2025.08.16	90033.44	90069.41	89724.85	89809.93	86388	0	45
2025.08.17	89809.91	89886.22	89632.13	89644.15	86242	0	45
2025.08.18	89644.13	89856.93	89519.99	89849.77	86399	0	45
2025.08.19	89849.75	90066.27	89810.45	89940.34	86400	0	45
2025.08.20	89940.32	90145.98	89757.91	89757.91	86401	0	45
2025.08.21	89757.89	89965.45	89737.17	89889.82	86400	0	45
2025.08.22	89889.80	90019.22	89756.04	89756.04	86400	0	45
2025.08.23	89756.02	89863.97	89675.20	89824.72	86400	0	45
2025.08.24	89824.70	89958.97	89732.81	89855.38	86399	0	45
2025.08.25	89855.36	90301.19	89839.06	90210.29	86401	0	45
2025.08.26	90210.27	90455.95	90138.96	90142.82	86400	0	45
2025.08.27	90142.80	90315.96	90082.51	90124.50	86400	0	45
2025.08.28	90124.48	90608.15	89991.22	90596.97	86400	0	45
2025.08.29	90596.95	90696.34	90516.24	90582.74	86400	0	45
2025.08.30	90582.72	91068.79	90580.84	90927.16	85872	0	45
2025.08.31	90927.14	91073.57	90829.78	90895.98	86378	0	45
2025.09.01	90895.96	90905.56	90619.27	90665.02	86400	0	45
2025.09.02	90665.00	90962.78	90601.14	90621.56	86400	0	45
2025.09.03	90621.54	90728.45	90340.50	90348.94	86400	0	45
2025.09.04	90348.92	90555.44	90277.66	90518.15	86400	0	45
2025.09.05	90518.13	90724.18	90390.51	90659.26	86401	0	45
