<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.02	103478.24	103576.36	103013.24	103137.16	86334	0	64
2025.02.03	103137.20	103168.45	102649.07	102873.36	86400	0	64
2025.02.04	102873.40	103667.03	102851.74	103596.96	86401	0	64
2025.02.05	103597.00	103619.81	102694.86	102705.30	86400	0	64
2025.02.06	102705.34	103041.70	102586.06	102889.06	86400	0	64
2025.02.07	102889.10	103074.14	102501.52	102740.74	86400	0	64
2025.02.08	102740.78	103145.44	102500.50	103098.62	86401	0	64
2025.02.09	103098.66	103151.80	102673.51	102764.91	86207	0	64
2025.02.10	102764.95	102978.23	102528.98	102793.42	86401	0	64
2025.02.11	102793.46	102891.15	102235.05	102769.28	86400	0	64
2025.02.12	102769.32	102777.80	102166.37	102339.55	86400	0	64
2025.02.13	102339.59	102959.44	102299.97	102829.67	86400	0	64
2025.02.14	102829.71	102882.62	102397.12	102875.24	86401	0	64
2025.02.15	102875.28	103180.51	102490.19	102658.41	86400	0	64
2025.02.16	102658.45	102799.67	102353.85	102528.72	86257	0	64
2025.02.17	102528.76	102684.07	101910.79	101932.03	86400	0	64
2025.02.18	101932.07	102328.14	101729.28	101854.37	86401	0	64
2025.02.19	101854.41	102011.53	100996.07	101043.13	86335	0	64
2025.02.20	101043.17	101362.38	100815.86	100883.82	86260	0	64
2025.02.21	100883.86	100996.53	100337.26	100400.60	86400	0	64
2025.02.22	100400.64	101210.60	100400.64	101042.80	86400	0	64
2025.02.23	101042.84	101696.26	101042.84	101678.80	86338	0	64
2025.02.24	101678.84	101737.53	101245.69	101432.62	86401	0	64
2025.02.25	101432.66	101652.78	101329.38	101491.42	86400	0	64
2025.02.26	101491.46	101723.37	101174.24	101373.39	86400	0	64
2025.02.27	101373.43	101737.27	101213.86	101540.13	86400	0	64
2025.02.28	101540.17	101664.14	100634.74	100786.89	86401	0	64
2025.03.01	100786.93	101563.87	100706.67	101301.15	86400	0	64
2025.03.02	101301.19	101566.30	101014.53	101050.33	86256	0	64
2025.03.03	101050.37	101169.02	100556.68	100674.43	86400	0	64
