<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.24	95224.62	95414.69	95099.95	95248.76	86401	0	30
2025.02.25	95248.78	95273.72	94849.93	94866.39	86400	0	30
2025.02.26	94866.41	95061.50	94731.79	94946.59	86400	0	30
2025.02.27	94946.61	95054.82	94861.86	94950.65	86400	0	30
2025.02.28	94950.67	95154.96	94895.91	94941.74	86401	0	30
2025.03.01	94941.76	95101.59	94886.92	94944.61	86400	0	30
2025.03.02	94944.63	95059.69	94751.09	94935.82	86259	0	30
2025.03.03	94935.84	94988.02	94727.80	94795.46	86400	0	30
2025.03.04	94795.48	95094.39	94565.69	95059.55	86401	0	45
2025.03.05	95059.57	95161.34	94912.58	95156.28	86244	0	45
2025.03.06	95156.30	95196.92	94438.53	94488.84	86186	0	45
2025.03.07	94488.86	94493.30	94141.85	94198.36	86401	0	45
2025.03.08	94198.38	94715.72	94198.38	94685.28	86400	0	45
2025.03.09	94685.30	94773.29	94462.38	94743.33	86338	0	45
2025.03.10	94743.35	94873.75	94550.74	94568.30	86400	0	45
2025.03.11	94568.32	94919.02	94498.74	94852.40	86401	0	45
2025.03.12	94852.42	94997.81	94599.46	94603.53	86400	0	45
2025.03.13	94603.55	94899.30	94431.16	94847.23	86400	0	45
2025.03.14	94847.25	95061.94	94787.96	94894.54	86400	0	45
2025.03.15	94894.56	95230.35	94887.27	95141.84	86363	0	45
2025.03.16	95141.86	95331.35	95013.01	95205.60	86390	0	45
2025.03.17	95205.62	95287.62	94877.47	94904.95	86400	0	45
2025.03.18	94904.97	95275.29	94876.97	95194.47	86400	0	45
2025.03.19	95194.49	95546.20	95135.95	95538.28	86376	0	45
2025.03.20	95538.30	95918.41	95474.94	95918.41	86401	0	45
2025.03.21	95918.43	96186.15	95893.55	96186.15	86283	0	45
2025.03.22	96186.17	96212.17	95718.67	95729.73	86400	0	45
2025.03.23	95729.75	95884.48	95329.57	95358.70	86176	0	45
2025.03.24	95358.72	95445.13	95173.02	95296.86	86249	0	45
2025.03.25	95296.88	95442.98	95097.72	95151.76	85952	0	45
2025.03.26	95151.78	95243.95	94981.63	95088.03	86400	0	45
2025.03.27	95088.05	95463.87	95065.02	95182.68	86401	0	45
2025.03.28	95182.70	95263.25	95032.26	95144.23	86400	0	45
2025.03.29	95144.25	95275.76	95040.50	95150.92	86400	0	45
2025.03.30	95150.94	95162.55	94992.62	95029.57	80267	0	45
2025.03.31	95029.59	95410.08	94978.93	95259.53	86400	0	45
2025.04.01	95259.55	95484.84	95164.66	95377.92	86400	0	45
2025.04.02	95377.94	95528.03	95327.05	95528.03	86401	0	45
2025.04.03	95528.05	95729.85	95500.97	95690.56	86400	0	45
2025.04.04	95690.58	95858.30	95559.31	95627.13	86400	0	45
2025.04.05	95627.15	95723.39	95208.02	95303.19	86400	0	45
2025.04.06	95303.21	95547.90	94997.75	95065.87	86339	0	45
2025.04.07	95065.89	95198.80	95030.58	95104.34	86400	0	45
2025.04.08	95104.36	95276.89	95043.04	95209.44	86400	0	45
2025.04.09	95209.46	95278.31	95024.31	95124.53	86400	0	45
2025.04.10	95124.55	95239.93	94917.39	94961.31	86401	0	45
2025.04.11	94961.33	95044.37	94781.68	94888.25	86317	0	45
2025.04.12	94888.27	95002.27	94671.20	94782.05	86400	0	45
2025.04.13	94782.07	95127.20	94782.07	94959.08	86252	0	45
2025.04.14	94959.10	95204.40	94904.11	95154.56	86400	0	45
2025.04.15	95154.58	95169.26	94959.91	95087.35	86330	0	45
2025.04.16	95087.37	95217.59	94823.37	94866.83	86399	0	45
2025.04.17	94866.85	94893.23	94450.26	94486.86	86293	0	45
2025.04.18	94486.88	94908.39	94486.88	94841.95	86400	0	45
2025.04.19	94841.97	94998.16	94820.26	94964.76	86400	0	45
