<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.17	94459.81	94534.87	94116.58	94209.83	86280	0	63
2025.04.18	94209.80	94432.39	94153.51	94405.81	86400	0	63
2025.04.19	94405.78	94817.82	94250.75	94734.73	86400	0	63
2025.04.20	94734.70	95280.76	94710.18	95253.51	86338	0	63
2025.04.21	95253.48	95304.30	95020.53	95170.40	86401	0	63
2025.04.22	95170.37	95182.52	94629.85	94826.30	86201	0	63
2025.04.23	94826.27	95015.16	94711.83	94752.73	86400	0	63
2025.04.24	94752.70	94945.37	94592.94	94654.63	86400	0	63
2025.04.25	94654.60	94731.17	94374.83	94446.50	86231	0	63
2025.04.26	94446.47	94730.23	94366.01	94583.96	86401	0	63
2025.04.27	94583.93	94803.88	94384.86	94472.76	86338	0	63
2025.04.28	94472.73	94547.49	94123.33	94269.55	86318	0	63
2025.04.29	94269.52	94650.66	94198.11	94503.52	86400	0	63
2025.04.30	94503.49	95116.49	94459.06	95055.60	86400	0	63
2025.05.01	95055.57	95162.15	94923.60	95023.55	86401	0	63
2025.05.02	95023.52	95297.13	94984.32	95023.84	86400	0	63
2025.05.03	95023.81	95160.69	94639.09	94815.12	86400	0	63
2025.05.04	94815.09	95248.52	94801.90	95129.38	86335	0	63
2025.05.05	95129.35	95212.12	94816.52	94906.77	86401	0	63
2025.05.06	94906.74	95360.31	94889.67	95216.66	86400	0	63
2025.05.07	95216.63	95307.71	94882.07	95107.08	86400	0	63
2025.05.08	95107.05	95333.69	94963.98	95193.50	86400	0	63
2025.05.09	95193.47	95193.47	94753.40	94807.12	86401	0	63
2025.05.10	94807.09	94816.40	94291.37	94404.88	86400	0	63
2025.05.11	94404.85	94787.76	94263.06	94632.10	86138	0	63
2025.05.12	94632.07	94710.25	94377.69	94644.56	86401	0	63
2025.05.13	94644.53	95026.11	94593.52	94805.85	86400	0	63
2025.05.14	94805.82	94981.97	94718.17	94788.25	86400	0	63
2025.05.15	94788.22	94952.52	94751.38	94822.64	86400	0	63
2025.05.16	94822.61	95245.81	94807.63	95096.09	86401	0	63
2025.05.17	95096.06	95436.71	95088.32	95194.23	86371	0	63
