"<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.06.01	98136.03	98324.44	97771.41	98318.80	86130	0	78"
"2025.06.02	98318.74	98941.55	98247.23	98752.52	86400	0	78"
"2025.06.03	98752.46	98805.00	98070.92	98263.44	86401	0	78"
"2025.06.04	98263.38	98592.82	98248.25	98482.19	86400	0	78"
"2025.06.05	98482.13	98598.76	97615.29	97653.73	86400	0	78"
"2025.06.06	97653.67	98032.50	97613.41	97851.86	86400	0	78"
"2025.06.07	97851.80	98522.61	97757.00	98411.69	86400	0	78"
"2025.06.08	98411.63	98575.88	98218.47	98308.82	86400	0	78"
"2025.06.09	98308.76	98447.31	97744.89	97778.84	86400	0	78"
"2025.06.10	97778.78	98018.90	97633.36	97973.30	86400	0	78"
"2025.06.11	97973.24	98656.08	97853.21	98624.58	86400	0	78"
"2025.06.12	98624.52	99377.31	98507.34	98983.53	86401	0	78"
"2025.06.13	98983.47	99270.79	98617.94	98683.21	86400	0	78"
"2025.06.14	98683.15	99061.68	98084.23	98180.16	86400	0	78"
"2025.06.15	98180.10	98199.67	97564.17	97625.20	85840	0	78"
"2025.06.16	97625.14	98066.44	97499.76	97920.65	86400	0	78"
"2025.06.17	97920.59	98386.94	97854.97	98208.19	86400	0	78"
"2025.06.18	98208.13	99096.32	98179.11	99038.07	86401	0	78"
"2025.06.19	99038.01	99156.77	98396.01	98704.68	86400	0	78"
"2025.06.20	98704.62	98877.53	98394.82	98497.78	86400	0	78"
"2025.06.21	98497.72	99100.78	98489.02	98923.92	86400	0	78"
"2025.06.22	98923.86	99142.96	98728.51	98811.48	86318	0	78"
"2025.06.23	98811.42	99277.08	98554.82	98955.39	86400	0	78"
"2025.06.24	98955.33	99077.26	98402.12	98434.40	86400	0	78"
"2025.06.25	98434.34	98631.81	98193.99	98459.39	86400	0	78"
"2025.06.26	98459.33	98471.09	98016.35	98386.18	86401	0	78"
"2025.06.27	98386.12	98782.47	98056.48	98593.13	86400	0	78"
"2025.06.28	98593.07	99370.67	98467.66	99305.71	86259	0	78"
"2025.06.29	99305.65	99410.30	99068.45	99290.78	86318	0	78"
"2025.06.30	99290.72	99460.22	99099.55	99202.38	86401	0	78"
"2025.07.01	99202.32	99786.85	99151.35	99762.69	86400	0	78"
"2025.07.02	99762.63	100235.49	99536.45	99536.45	86400	0	78"
"2025.07.03	99536.39	100139.69	99504.89	99868.74	86391	0	78"
"2025.07.04	99868.68	99968.59	99487.95	99493.89	86401	0	78"
"2025.07.05	99493.83	99493.83	99032.08	99185.58	86388	0	78"
"2025.07.06	99185.52	99501.38	99045.87	99235.30	86394	0	78"
"2025.07.07	99235.24	99343.81	98633.70	98714.63	86400	0	78"
