"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.09.03	23:00:00	101345.16	101345.16	101308.67	101319.81	900	0	78"
"2025.09.03	23:15:00	101319.75	101325.58	101290.59	101312.56	900	0	78"
"2025.09.03	23:30:00	101312.50	101312.50	101277.12	101277.12	900	0	78"
"2025.09.03	23:45:00	101277.06	101277.06	101223.12	101223.12	900	0	78"
"2025.09.04	00:00:00	101223.06	101232.52	101203.68	101205.40	900	0	78"
"2025.09.04	00:15:00	101205.34	101215.10	101189.56	101191.82	900	0	78"
"2025.09.04	00:30:00	101191.76	101191.76	101159.66	101182.66	900	0	78"
"2025.09.04	00:45:00	101182.60	101182.60	101128.66	101128.66	900	0	78"
"2025.09.04	01:00:00	101128.60	101128.60	101074.66	101074.66	900	0	78"
"2025.09.04	01:15:00	101074.60	101083.37	101048.50	101068.55	900	0	78"
"2025.09.04	01:30:00	101068.49	101120.65	101065.43	101085.97	900	0	78"
"2025.09.04	01:45:00	101085.91	101120.71	101072.05	101072.05	900	0	78"
"2025.09.04	02:00:00	101071.99	101111.25	101047.57	101097.09	900	0	78"
"2025.09.04	02:15:00	101097.03	101191.21	101093.91	101168.59	900	0	78"
"2025.09.04	02:30:00	101168.53	101179.11	101148.09	101152.94	900	0	78"
"2025.09.04	02:45:00	101152.88	101234.24	101139.43	101225.84	900	0	78"
"2025.09.04	03:00:00	101225.78	101266.50	101207.48	101253.18	900	0	78"
"2025.09.04	03:15:00	101253.12	101313.99	101249.28	101298.57	900	0	78"
"2025.09.04	03:30:00	101298.51	101387.61	101297.07	101363.67	900	0	78"
"2025.09.04	03:45:00	101363.61	101429.73	101358.81	101421.85	900	0	78"
"2025.09.04	04:00:00	101421.79	101477.79	101421.43	101459.91	900	0	78"
"2025.09.04	04:15:00	101459.85	101546.20	101456.55	101537.20	900	0	78"
"2025.09.04	04:30:00	101537.14	101582.35	101534.32	101555.65	900	0	78"
"2025.09.04	04:45:00	101555.59	101619.75	101543.77	101616.51	900	0	78"
